Naive ['D', 'A', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'D'] 739.5099999999999 0.60
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'A', 'D'] 759.84 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'A', 'D'] 759.84 0.11
ACO ['D', 'H', 'B', 'A', 'F', 'I', 'J', 'C', 'E', 'G', 'D'] 762.1700000000001 0.11
ACO ['D', 'H', 'B', 'A', 'F', 'I', 'J', 'C', 'E', 'G', 'D'] 762.1700000000001 0.11
ACO ['D', 'G', 'E', 'I', 'C', 'J', 'F', 'H', 'B', 'A', 'D'] 755.63 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'A', 'J', 'C', 'I', 'E', 'G', 'D'] 746.1800000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'A', 'F', 'I', 'C', 'J', 'E', 'G', 'D'] 773.84 0.11
ACO ['D', 'H', 'B', 'A', 'F', 'C', 'J', 'I', 'E', 'G', 'D'] 764.36 0.11
ACO ['D', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'A', 'D'] 759.84 0.11
ACO ['D', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'A', 'D'] 759.84 0.11
ACO ['D', 'H', 'A', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'D'] 743.89 0.11
ACO ['D', 'H', 'B', 'F', 'A', 'J', 'C', 'I', 'E', 'G', 'D'] 746.1800000000001 0.11
ACO ['D', 'H', 'B', 'F', 'A', 'J', 'C', 'I', 'E', 'G', 'D'] 746.1800000000001 0.11
ACO ['D', 'H', 'F', 'B', 'A', 'J', 'C', 'I', 'E', 'G', 'D'] 760.49 0.11
ACO ['D', 'H', 'A', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'D'] 760.36 0.11
ACO ['D', 'H', 'B', 'A', 'F', 'I', 'J', 'C', 'E', 'G', 'D'] 762.1700000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'A', 'J', 'C', 'I', 'F', 'E', 'G', 'D'] 755.36 0.11
ACO ['D', 'A', 'H', 'B', 'F', 'C', 'J', 'I', 'E', 'G', 'D'] 758.1700000000001 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'A', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'D'] 743.89 0.11
ACO ['D', 'H', 'B', 'F', 'I', 'J', 'C', 'E', 'G', 'A', 'D'] 776.3100000000001 0.11
ACO ['D', 'H', 'B', 'F', 'J', 'C', 'I', 'E', 'G', 'A', 'D'] 759.84 0.11
